                  name                   |              domain              | count_number 
 Bill's                                  | bills-website.co.uk              |            8
 Bosco Pizzeria                          | boscopizzeria.co.uk              |            2
 Black Tap                               | blacktapme.com                   |            2
 Le Pain Quotidien                       | lepainquotidien.com              |            6
 Tapas Revolution                        | tapasrevolution.com              |            4
 Ippudo                                  | ippudony.com                     |            3
 Milsoms                                 | milsomhotels.com                 |            2
 Daylesford Organic                      | daylesford.com                   |            4
 Frankies Pizza                          | frankiespizza.dk                 |            7
 Flat Iron                               | flatironsteak.co.uk              |            9
 Dirty Burger                            | eatdirtyburger.com               |            2
 Wimpy                                   | locations.wimpy.uk.com           |            4
 The Rib Room                            | jumeirah.com                     |            2
 Melange                                 | melangerestaurant.co.uk          |            2
 Grabli                                  | grabli.ru                        |            2
 L'antica Pizzeria da Michele            | anticapizzeriadamichele.co.uk    |            2
 Las Iguanas                             | iguanas.co.uk                    |            2
 Fazenda                                 | fazenda.co.uk                    |            3
 The Real Greek                          | therealgreek.com                 |            5
 Hard Rock Cafe                          | hardrockcafe.com                 |            2
 Yard Sale Pizza                         | yardsalepizza.com                |            5
 Santa Nata                              | santanata.com                    |            2
 Draughts                                | draughtslondon.com               |            2
 Monte Mar                               | montemar.pt                      |            3
 Origin Coffee Roasters                  | origincoffee.co.uk               |            2
 Friends Avenue Cafe                     | friendsavenue.ae                 |            2
 Sofra                                   | restoransofra.com                |            2
 All Star Lanes                          | allstarlanes.co.uk               |            5
 Carissa's the Bakery                    | carissasthebakery.com            |            2
 Shangri-La                              | shangri-la.com                   |            4
 Cactus Jack's                           | cactusjacks.com.au               |            3
 Hawksmoor                               | thehawksmoor.com                 |            7
 Sumosan Twiga                           | sumosantwiga.com                 |            2
 Fego                                    | hellofego.com                    |            3
 The Spread Eagle                        | thespreadeaglelondon.co.uk       |            2
 Tattu                                   | tattu.co.uk                      |            3
 Kaffeine                                | kaffeine.co.uk                   |            2
 Allegra                                 | allegra-restaurant.com           |            2
 Ayllu                                   | ayllu.co.uk                      |            2
 Costa Coffee                            | costa.co.uk                      |            3
 Forty Hands                             | 40handscoffee.com                |            2
 Manekineko                              | manekineko.com.br                |            5
 Pieminister                             | pieminister.co.uk                |            3
 Chaophraya                              | chaophraya.co.uk                 |            7
 Kayal                                   | kayalrestaurant.com              |            2
 Rabieng                                 | rabiengthai.com                  |            2
 Spris Pizza                             | sprispizza.com                   |            2
 French Connection                       | frenchconnection.com             |            6
 Koya                                    | koya.co.uk                       |            2
 Made of Dough                           | madeofdough.co.uk                |            2
 Theo's                                  | theospizzeria.com                |            2
 Blondies Kitchen                        | blondieskitchen.co.uk            |            3
 Wildwood                                | wildwoodrestaurants.co.uk        |            3
 WFM Coffee Bar                          | wholefoodsmarket.com             |            5
 Heavenly Desserts                       | heavenlydesserts.co.uk           |            3
 Chicama                                 | chicamalondon.com                |            2
 The Mac Factory                         | themacfactory.co.uk              |            2
 Côte Brasserie                          | cote.co.uk                       |            3
 Bocconcino                              | bocconcinorestaurant.co.uk       |            2
 Melisi                                  | melisi.co.uk                     |            2
 Bar Azita                               | barazita.co.uk                   |            2
 Gaucho                                  | gauchorestaurants.com            |            5
 Wing It                                 | wingit.ie                        |            2
 In-N-Out Burger                         | in-n-out.com                     |            2
 Osteria 16                              | osteria16.dk                     |            2
 Wingstop                                | wingstop.co.uk                   |            2
 Lina Stores                             | linastores.co.uk                 |            3
 Fortnum & Mason                         | fortnumandmason.com              |            2
 Rick Stein                              | rickstein.com                    |            2
 Coppa Club                              | coppaclub.co.uk                  |            4
 Doughnut Time                           | doughnuttime.co.uk               |            2
 Banter NYC                              | banternyc.com                    |            2
 Taro                                    | tarorestaurants.uk               |            2
 Balans                                  | balans.co.uk                     |            3
 Cowshed                                 | cowshed.com                      |            4
 Carluccio's                             | carluccios.com                   |            2
 Pizza East                              | pizzaeast.com                    |            2
 Mr Miyagi's                             | mr-miyagis.com                   |            2
 Busaba Eathai                           | busaba.com                       |           11
 Poppies Fish & Chips                    | poppiesfishandchips.co.uk        |            2
 Wagamama                                | wagamama.com                     |            3
 The Pig                                 | thepighotel.com                  |            3
 Koi                                     | koirestaurant.com                |            2
 The Espresso Room                       | theespressoroom.london           |            2
 Joe's Pizza                             | joespizzanyc.com                 |            5
 Gasoline Grill                          | gasolinegrill.com                |            4
 Ognisko Restaurant                      | ogniskorestaurant.co.uk          |            2
 Dishoom                                 | dishoom.com                      |            8
 TGI Fridays                             | tgifridays.co.uk                 |            3
 Tonkotsu                                | tonkotsu.co.uk                   |           10
 Beso Beach                              | besobeach.com                    |            2
 Saint Espresso                          | saintespresso.com                |            2
 Leon                                    | leon.co                          |            2
 Suvlaki                                 | suvlaki.co.uk                    |            2
 Amazonico                               | amazonicorestaurant.com          |            2
 Burger King                             | burgerking.co.uk                 |            2
 Buenos Aires                            | barestaurant.com                 |            2
 B Bagel Bakery Bar                      | bbagel.co.uk                     |            2
 Cambridge Wine Merchants                | cambridgewine.com                |            2
 La Campagna                             | la-campagna.co.uk                |            3
 Cake Box                                | eggfreecake.co.uk                |            3
 Prawn on the Lawn                       | prawnonthelawn.com               |            2
 San Carlo                               | sancarlo.co.uk                   |            2
 Oka                                     | okarestaurant.co.uk              |            3
 Chez Antoinette                         | chezantoinette.co.uk             |            2
 Pophams                                 | pophamsbakery.com                |            2
 Tamarind                                | tamarindrestaurant.com           |            2
 Farm Girl                               | thefarmgirl.co.uk                |            2
 Honest Burgers                          | honestburgers.co.uk              |            6
 The Alchemist                           | thealchemist.uk.com              |            4
 The Lunch Box                           | thelunchbox.co.uk                |            3
 Four Seasons                            | fourseasons.com                  |            3
 Wetherspoons                            | jdwetherspoon.com                |            3
 Kanishka                                | kanishkarestaurant.co.uk         |            2
 My Old Dutch                            | myolddutch.com                   |            2
 Mercato Metropolitano                   | mercatometropolitano.com         |            2
 Flesh & Buns                            | fleshandbuns.com                 |            2
 Nando's                                 | nandos.ie                        |            3
 Brunch & Cake                           | brunchandcake.com                |            2
 Padella                                 | padella.co                       |            2
 Peggy Porschen                          | peggyporschen.com                |            2
 Estiatorio Milos                        | estiatoriomilos.com              |            2
 Fieldwork Brewing Company               | fieldworkbrewing.com             |            2
 Buddha Bar                              | buddhabar.com                    |            3
 Topgolf                                 | topgolf.com                      |            2
 KERB                                    | kerbfood.com                     |            3
 Miller & Carter                         | millerandcarter.co.uk            |           11
 Franco Manca                            | francomanca.co.uk                |           13
 Panino Giusto                           | paninogiusto.it                  |            2
 George's Great British Kitchen          | georgesgreatbritishkitchen.co.uk |            2
 Mexican Sugar                           | mexicansugarcocina.com           |            2
 Homeslice                               | homeslicepizza.co.uk             |            6
 The Cornish Bakery                      | thecornishbakery.com             |            2
 Le Relais de Venise l'Entrecôte         | relaisdevenise.com               |            2
 Musafir                                 | musafir.com.ua                   |            3
 Nammos                                  | nammos.gr                        |            2
 Piccolino                               | piccolinorestaurants.com         |            5
 Vivat Bacchus                           | vivatbacchus.co.uk               |            2
 Lantana                                 | lantanacafe.co.uk                |            2
 PizzaExpress                            | pizzaexpress.com                 |            3
 Caffè Concerto                          | caffeconcerto.co.uk              |            3
 Junkyard Golf Club                      | junkyardgolfclub.co.uk           |            3
 Ella Canta                              | ellacanta.com                    |            2
 Indian Accent                           | indianaccent.com                 |            3
 Gusto                                   | gustorestaurants.uk.com          |           11
 Coffee Collective                       | coffeecollective.dk              |            2
 Lobos                                   | lobostapas.co.uk                 |            2
 Tapas Brindisa                          | brindisakitchens.com             |            3
 Mowgli Street Food                      | mowglistreetfood.com             |            8
 Absurd Bird                             | absurdbird.com                   |            2
 Ippudo                                  | ippudo.co.uk                     |            4
 Ego                                     | egorestaurants.co.uk             |            2
 Eggslut                                 | eggslut.com                      |            8
 Turtle Bay                              | turtlebay.co.uk                  |            4
 Coya                                    | coyarestaurant.com               |            2
 Okan                                    | okanlondon.com                   |            2
 Burgers and Brew                        | burgersnbrew.com                 |            2
 Bestia                                  | bestiala.com                     |            2
 Tommi's Burger Joint                    | tommis.is                        |            2
 All Bar One                             | allbarone.co.uk                  |            2
 CVI.CHE 105                             | ceviche105.com                   |            3
 Bagel Factory                           | bagelfactory.co.uk               |            2
 Café Rouge                              | caferouge.co.uk                  |            2
 Beam                                    | cafebeam.co.uk                   |            2
 Big Easy Bar.B.Q & Crabshack            | bigeasy.co.uk                    |            3
 Eat a Pitta                             | eatapitta.co.uk                  |            4
 Banana Tree                             | bananatree.co.uk                 |            2
 Mediterranevm                           | mediterranevm.co.uk              |            2
 Hubbox                                  | hubbox.co.uk                     |            2
 YO! Sushi                               | yosushi.me                       |            2
 Vagabond                                | vagabondwines.co.uk              |            2
 Harris + Hoole                          | harrisandhoole.co.uk             |            3
 Nando's                                 | nandos.co.uk                     |            7
 Sticks'n'Sushi                          | sticksnsushi.com                 |           18
 Purezza                                 | purezza.co.uk                    |            2
 Sticks'n' Sushi Soho                    | sticksnsushi.com                 |            2
 Slim Chickens                           | slimchickens.co.uk               |            2
 Common Grounds                          | commongroundsdubai.com           |            2
 Chick 'n' Sours                         | chicknsours.co.uk                |            3
 Bone Daddies                            | bonedaddies.com                  |            3
 Kiyoto Sushi                            | kiyotosushi.co.uk                |            2
 Zaap Thai Street Food                   | zaapthai.co.uk                   |            2
 Marchesi 1824                           | pasticceriamarchesi.com          |            2
 Bread Street Kitchen                    | gordonramsayrestaurants.com      |            2
 Mildreds                                | mildreds.co.uk                   |            4
 BaoziInn                                | baoziinn.com                     |            3
 Dirty Bones                             | dirty-bones.com                  |            5
 Bancone                                 | bancone.co.uk                    |            2
 Piadera                                 | piadera.com                      |            2
 Pizza Pilgrims                          | pizzapilgrims.co.uk              |           10
 Everyman                                | everymancinema.com               |            2
 Rosa's Thai Cafe                        | rosasthaicafe.com                |           12
 Subway                                  | subway.co.uk                     |            2
 Maze Grill                              | gordonramsayrestaurants.com      |            2
 Itsu                                    | itsu.com                         |            4
 The Botanist                            | thebotanist.uk.com               |            3
 Ferdi                                   | ferdi-restaurant.com             |            2
 Los Mochis                              | losmochis.co.uk                  |            2
 Sugar Factory                           | sugarfactory.com                 |            2
 Giordano's                              | giordanos.com                    |            2
 Wingmans                                | wingmans.co.uk                   |            2
 Xi'an Famous Foods                      | xianfoods.com                    |            4
 Market Halls                            | markethalls.co.uk                |            3
 L'Antica Pizzeria                       | anticapizzeria.co.uk             |            2
 Cafe Murano                             | cafemurano.co.uk                 |            3
