                  name                   |                domain                | count_number 
 Big Easy Bar.B.Q & Crabshack            | bigeasy.co.uk                        |            3
 Ella Canta                              | www.ellacanta.com                    |            2
 Hubbox                                  | hubbox.co.uk                         |            2
 Vinoteca                                | www.vinoteca.co.uk                   |            2
 L'antica Pizzeria da Michele            | www.anticapizzeriadamichele.co.uk    |            2
 Sticks'n'Sushi                          | sticksnsushi.com                     |           18
 Purezza                                 | purezza.co.uk                        |            2
 Sticks'n' Sushi Soho                    | sticksnsushi.com                     |            2
 Common Grounds                          | commongroundsdubai.com               |            2
 Franco Manca                            | www.francomanca.co.uk                |           11
 Chick 'n' Sours                         | chicknsours.co.uk                    |            2
 Marchesi 1824                           | pasticceriamarchesi.com              |            2
 Café Rouge                              | www.caferouge.co.uk                  |            2
 BaoziInn                                | baoziinn.com                         |            2
 Dirty Bones                             | dirty-bones.com                      |            5
 Wagamama                                | www.wagamama.com                     |            3
 Rabieng                                 | www.rabiengthai.com                  |            2
 Piadera                                 | piadera.com                          |            2
 Pizza Pilgrims                          | pizzapilgrims.co.uk                  |            5
 Omnino                                  | www.omninorestaurants.com            |            2
 Maze Grill                              | gordonramsayrestaurants.com          |            2
 The Botanist                            | thebotanist.uk.com                   |            3
 Bread Ahead                             | www.breadahead.com                   |            4
 Ognisko Restaurant                      | www.ogniskorestaurant.co.uk          |            2
 Tamarind                                | www.tamarindrestaurant.com           |            2
 Sugar Factory                           | sugarfactory.com                     |            2
 Giordano's                              | giordanos.com                        |            2
 Xi'an Famous Foods                      | xianfoods.com                        |            2
 Cafe Murano                             | www.cafemurano.co.uk                 |            2
 Pizza Union                             | www.pizzaunion.com                   |            3
 Panino Giusto                           | www.paninogiusto.it                  |            2
 L'Antica Pizzeria                       | anticapizzeria.co.uk                 |            2
 Four Seasons                            | fs-restaurants.co.uk                 |            2
 Pizza Pilgrims                          | www.pizzapilgrims.co.uk              |            5
 Cambridge Wine Merchants                | www.cambridgewine.com                |            2
 Costa Coffee                            | www.costa.co.uk                      |            2
 Turtle Bay                              | www.turtlebay.co.uk                  |            4
 Bun House                               | bun.house                            |            2
 Red's True Barbecue                     | truebarbecue.com                     |            2
 Taqueria                                | www.taqueria.co.uk                   |            2
 The Ampersand Hotel                     | www.ampersandhotel.com               |            2
 Melisi                                  | www.melisi.co.uk                     |            2
(324 rows)

